"Morbidity","binary","count","other"
"adl3",FALSE,TRUE,FALSE
"adl5",FALSE,TRUE,FALSE
"iadl3",FALSE,TRUE,FALSE
"iadl5",FALSE,TRUE,FALSE
"cesd",FALSE,TRUE,FALSE
"lim_work",TRUE,FALSE,FALSE
"srh",TRUE,FALSE,FALSE
"bmi",FALSE,FALSE,TRUE
"back",TRUE,FALSE,FALSE
"hosp",TRUE,FALSE,FALSE
"hosp_stays",FALSE,TRUE,FALSE
"hosp_nights",FALSE,TRUE,FALSE
"nh",TRUE,FALSE,FALSE
"nh_stays",FALSE,TRUE,FALSE
"nh_nights",FALSE,TRUE,FALSE
"nh_now",TRUE,FALSE,FALSE
"doc",TRUE,FALSE,FALSE
"doc_visits",FALSE,TRUE,FALSE
"hhc",TRUE,FALSE,FALSE
"meds",TRUE,FALSE,FALSE
"surg",TRUE,FALSE,FALSE
"dent",TRUE,FALSE,FALSE
"shf",TRUE,FALSE,FALSE
"adl_walk",TRUE,FALSE,FALSE
"adl_dress",TRUE,FALSE,FALSE
"adl_bath",TRUE,FALSE,FALSE
"adl_eat",TRUE,FALSE,FALSE
"adl_bed",TRUE,FALSE,FALSE
"adl_toilet",TRUE,FALSE,FALSE
"iadl_map",TRUE,FALSE,FALSE
"iadl_money",TRUE,FALSE,FALSE
"iadl_meds",TRUE,FALSE,FALSE
"iadl_shop",TRUE,FALSE,FALSE
"iadl_meals",TRUE,FALSE,FALSE
"mob",FALSE,TRUE,FALSE
"lg_mus",FALSE,TRUE,FALSE
"gross_mot",FALSE,TRUE,FALSE
"fine_mot",FALSE,TRUE,FALSE
"bp",TRUE,FALSE,FALSE
"diab",TRUE,FALSE,FALSE
"cancer",TRUE,FALSE,FALSE
"lung",TRUE,FALSE,FALSE
"heart",TRUE,FALSE,FALSE
"stroke",TRUE,FALSE,FALSE
"psych",TRUE,FALSE,FALSE
"arth",TRUE,FALSE,FALSE
"cc",FALSE,TRUE,FALSE
"alc_ev",TRUE,FALSE,FALSE
"alc_days",FALSE,TRUE,FALSE
"alc_drinks",FALSE,TRUE,FALSE
"smoke_ev",TRUE,FALSE,FALSE
"smoke_cur",TRUE,FALSE,FALSE
"cesd_depr",TRUE,FALSE,FALSE
"cesd_eff",TRUE,FALSE,FALSE
"cesd_sleep",TRUE,FALSE,FALSE
"cesd_lone",TRUE,FALSE,FALSE
"cesd_sad",TRUE,FALSE,FALSE
"cesd_going",TRUE,FALSE,FALSE
"cesd_enjoy",TRUE,FALSE,FALSE
"srm",TRUE,FALSE,FALSE
"pastmem",TRUE,FALSE,FALSE
"ss",FALSE,TRUE,FALSE
"c20b",TRUE,FALSE,FALSE
"name_mo",TRUE,FALSE,FALSE
"name_dmo",TRUE,FALSE,FALSE
"name_yr",TRUE,FALSE,FALSE
"name_dwk",TRUE,FALSE,FALSE
"name_sci",TRUE,FALSE,FALSE
"name_cac",TRUE,FALSE,FALSE
"name_pres",TRUE,FALSE,FALSE
"name_vp",TRUE,FALSE,FALSE
"vocab",FALSE,TRUE,FALSE
"tm",FALSE,TRUE,FALSE
